"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"A_PH_004","74","184","0.161","Plant-Herbivore","0","Joern, A. 1979. Feeding patterns in grasshoppers (Orthoptera: Acrididae): factors influencing diet specialization. Oecologia 38: 325-347","Altuda, Trans-Pecos, Texas","30.3025799","-103.4558401"
"A_PH_005","78","173","0.133","Plant-Herbivore","0","Joern, A. 1979. Feeding patterns in grasshoppers (Orthoptera: Acrididae): factors influencing diet specialization. Oecologia 38: 325-347","Marathon, Trans-Pecos, Texas","30.206431","-103.245385"
"A_PH_006","94","116","0.22","Plant-Herbivore","0","Leather, S.R. 1991. Feeding specialisation and host distribution of British and Finnish Prunus feeding macrolepidoptera. OIKOS 60: 40-48.","Britain","53.833333","-2.416667"
"A_PH_007","69","95","0.297","Plant-Herbivore","0","Leather, S.R. 1991. Feeding specialisation and host distribution of British and Finnish Prunus feeding macrolepidoptera. OIKOS 60: 40-48.","Finland","64.9146659","26.0672553"
"FW_011","105","343","0.063","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","Maine, USA","45.709097","-68.8590201"
"FW_012_01","58","126","0.076","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","North Carolina, USA","36.075391","-79.001843"
"FW_012_02","71","148","0.06","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","North Carolina, USA","36.075391","-79.001843"
"FW_013_01","66","187","0.08","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","Otago, New Zealand","-45.1299859","169.5248818"
"FW_013_02","77","240","0.078","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","Otago, New Zealand","-45.1299859","169.5248818"
"FW_013_03","78","241","0.08","Food Webs","0","Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","Otago, New Zealand","-45.1299859","169.5248818"
